ID     Name          Location
1       Sierra Flower Trading Saint-Laurent, QC

2       Nantel Mcdiarmid     Saint-Laurent, QC

3       GROUPE SUMMUM        Saint-Laurent, QC

4       Eski Inc             Montréal, QC

5       Canadian Tire        Saint-Laurent, QC

6       Groupe Vision New Look Inc Montréal, QC

7       Groupe ISN Canada    Remote in Boucherville, QC

8       GA International     Laval, QC

9       Regal Confections (Confiseries Regal) Inc. Laval, QC

10      Simons               Pointe-Claire, QC

11      Frandon Seafoods     Montréal, QC

12      The Home Depot Canada Montréal, QC

13      Ordre des CPA du Québec Montréal, QC

14      Quincaillerie Richelieu Ltee Anjou, QC

15      A1 IMPORTS           Boisbriand, QC

16      Services Ricova Inc. Montréal-Ouest, QC

17      Groupe immobilier Celico Montréal, QC

18      Uniqlo Canada        Montréal, QC

19      Nestle Operational Services Worldwide SA Montréal, QC

20      Cardinal Health      Dorval, QC

21      DEMOSPEC             Montréal, QC

22      American Iron and Metal Hybrid remote in Montréal, QC

23      Playground           Kahnawake, QC

24      Industries Goodwill Renaissance Montreal Inc. Montréal, QC

25      Terrapure Environmental Sainte-Catherine, QC

26      Northvolt            Montréal, QC

27      Université du Québec à Montréal (UQAM) Montréal, QC

28      Paysafe              Hybrid remote in Montréal, QC

29      Solution Air Ventilation Laval, QC

30      REEL                 Boisbriand, QC

31      First Onsite         Dorval, QC

32      Centre de services scolaire des... Hybrid remote in La Prairie, QC

33      Almar Paysagiste inc. Boucherville, QC

34      Le CHSLD Marguerite-Rocheleau Longueuil, QC

35      Eurovia Québec       Hybrid remote in Laval, QC

36      BOPIED TENDANCES     Longueuil, QC

37      Extra Multi-Ressources Montréal, QC

38      Brandt               Montréal, QC

39      Moneris Solutions    Hybrid remote in Montréal, QC

40      Savers / Value Village Terrebonne, QC

41      Adecco.              Remote in Montréal, QC

42      Advance Auto Parts   Saint-Hubert, QC

43      Mariette Clermont    Laval, QC

44      Tapis O.Bélec inc    Terrebonne, QC

45      MindCore Technologies Terrebonne, QC

46      Delpharm Boucherville Boucherville, QC

47      SOCIÉTÉ EN COMMANDITE PMA DELSON Delson, QC

48      The Better Together Group Montréal, QC

49      Belron Canada        Boucherville, QC

50      Keca International Inc. Montréal, QC

51      Rainville et Frères  Chambly, QC

52      Groupe JAMP Pharma   Boucherville, QC

53      ABB Électrification Canada SRI Pointe-Claire, QC

54      Acier Picard inc.    Varennes, QC

55      Labatt Breweries Canada Terrebonne, QC

56      Équipement St-Germain inc. Sainte-Julie, QC

57      La Compagnie Commonwealth Plywood Sainte-Thérèse, QC

58      DLC Teams            Kirkland, QC

59      Deli-Porc Inc.       Laval, QC

60      GAB-Induspac         Candiac, QC

61      ALBI Kia Mascouche   Mascouche, QC

62      Les Portes Bourassa  Terrebonne, QC

63      Le Groupe Jalicika Inc. Saint-Hubert, QC

64      LABPLAS INC.         Sainte-Julie, QC

65      Demix Agrégats – Une société CRH Laval, QC

66      FleuriTerre Inc.     Saint-Constant, QC

67      Ville de Varennes    Varennes, QC

68      LES AMÉNAGEMENTS PAYSAGÉS SOL VERT Laval, QC

69      ALBI Mazda Mascouche Mascouche, QC

70      Cargill French Canadian Chambly, QC

71      C.H. Guenther & Son, Inc. Dollard-Des Ormeaux, QC

72      Altium Packaging     Montréal, QC

73      Kraft Heinz Company  Mont-royal, QC

74      Artmetco inc         Saint-Laurent, QC

75      Altium Packaging Canada Anjou, QC

76      Lafarge Canada       Saint-Constant, QC

77      Synairtech (usine de fabrication) Boucherville, QC

78      Aerotek              Montréal, QC

79      Saint-Arneault inc.  Saint-Hubert, QC

80      Recrutement GK Inc   Montréal, QC

81      SEI MÉTAL            Terrebonne, QC

82      Sacs Industriels Inc. Lasalle, QC

83      Levert               Dorval, QC

84      Joe Johnson Equipment Montreal Anjou, QC

85      GFL Environmental Inc. Laval, QC

86      Fenplast Inc         Candiac, QC

87      CIUSSS de l'Ouest-de-l’Île-de-Montréal Montréal, QC

88      Cognizant Technology Solutions Hybrid remote in Montréal, QC

89      Labatt Breweries of Canada Lasalle, QC

90      Plastiques Milsi     Longueuil, QC

91      Progazon             Canal de la Rive Sud, QC

92      H2O Traitements Industriels Inc. Longueuil, QC

93      Max'D Peinture Inc.  Montréal, QC

94      Groupe DCM           Saint-Bruno-de-Montarville, QC

95      Fenêtres Concept inc. Terrebonne, QC

96      ADI - Albert Davidson Industries Pointe-Claire, QC

97      KABS                 Saint-Hubert, QC

98      Groupe ADF inc.      Terrebonne, QC

99      AIM Kenny U-Pull     La Prairie, QC

100     Barrette Chapais     Quebec Province

101     Hayes Signalisation  Montreal-nord, QC

102     Fabexp / Peinture Rive-Sud Sainte-Julie, QC

103     O-I                  Montréal, QC

104     Haleon               Saint-Laurent, QC

105     Prolifik inc.        Varennes, QC

106     Fuze HR Solutions Inc Laval, QC

107     Fibres Jasztex inc.  Pointe-Claire, QC

108     ArcelorMittal        Montréal, QC

109     Expresco Foods       Saint-Laurent, QC

110     Kik Consumer Products Montréal, QC

111     Kruger Inc.          Montréal, QC

112     WestRock Company of Canada Montréal, QC

113     JTI - Japan Tobacco International Montréal, QC

114     Glencore             Montréal, QC

115     Centre Rockland      Montréal, QC

116     CHSLD Marguerite Rocheleau Saint-Hubert, QC

117     Centre de services scolaire de Laval Laval, QC

118     Commission scolaire Riverside - Riverside School... Longueuil, QC

119     Centre de services scolaire Marie-Victorin Longueuil, QC

120     Cégep Marie-Victorin Montréal, QC

121     Cominar              Montréal, QC

122     CISSS de la Montérégie-Est Varennes, QC

123     CDS - Custom Downstream Systems Lachine, QC

124     Presstine Marketing  Dorval, QC

125     CHSLD La Résidence du Bonheur Laval, QC

126     DLC/Greenteam Landscaping Kirkland, QC

127     Gazon Tropical       Boucherville, QC

128     Office municipal d'habitation de Laval Laval, QC

129     Le Groupe Laberge Inc . Longueuil, QC

130     Centre de services scolaire des Mille-Îles (CSSMI) Deux-Montagnes, QC

131     CISSS de la Montérégie-Ouest Châteauguay, QC

132     Centre de services scolaire de la Pointe-de-l'Île Montréal, QC

133     Groupe Paradis Prestige Brossard, QC

134     Dominique Filion     Saint-Basile-le-Grand, QC

135     Cojalac              Montréal, QC

136     Jardins des beaux rêves inc Boucherville, QC

137     Vitre Art            Montreal-nord, QC

138     Produits Alimentaires Berthelet Inc. Remote in Laval, QC

139     LISI AÉRONAUTIQUE CANADA Dorval, QC

140     Les Pavages Augellco Inc. Sainte-Catherine, QC

141     Groupe CH            Laval, QC

142     Lantic Inc.          Montréal, QC

143     Wajax                Pointe-aux-trembles, QC

144     Enveloppe Concept    Brampton, ON

145     Oldcastle BuildingEnvelope Canada Inc. Pointe-aux-trembles, QC

146     Ville de Candiac     Candiac, QC

147     Groupe Thomas Marine Sainte-rose, QC

148     Gesco Construction   Terrebonne, QC

149     Foodarom             Saint-Hubert, QC

150     Nelmar               Terrebonne, QC

151     Nellson              Lachine, QC

152     Flow Control Group   Montréal, QC

153     Labelink             Montréal, QC

154     Therio Innovation Inc. Saint-Hubert, QC

155     Bombardier           Dorval, QC

156     Air Liquide          Varennes, QC

157     Mobilfab Inc.        Pointe-aux-trembles, QC

158     Presstine Marketing Inc. Dorval, QC

159     Kaycan               Terrebonne, QC

160     Multiforme Métal Inc. Montréal, QC

161     AIM Delsan           Laval, QC

162     Quantum Lifecycle Partners LP Laval, QC

163     Multi Recyclage      Laval, QC

164     Groupe Mack Volvo    Dorval, QC

165     Recyclage d'autos N. Legault Sainte-Catherine, QC

166     Village Des Valeurs  Greenfield Park, QC

167     Busbusbus            Longueuil, QC

168     Hydro                Montréal, QC

169     Groupe St-Hubert     Hybrid remote in Boisbriand, QC

170     Black & McDonald Limited Brossard, QC

171     Damas Holding Inc.   Montréal, QC

172     Femmes Autochtones du Québec Kahnawake, QC

173     Aeromag 2000         Saint-Laurent, QC

174     Multi-Color Corporation - French (Canada) Saint-Laurent, QC

175     Canadian National Railway Montréal, QC

176     Biospective          Montréal, QC

177     Sleeman Breweries    Montréal, QC

178     McGill University    Montréal, QC

179     ATELIER-JFD          Montréal, QC

180     Confidential         Montréal, QC

181     Renfortech Inc       Dorval, QC

182     Le Groupe Maurice    Montréal, QC

183     Tennis Canada        Montréal, QC

184     THERMOS RIVE NORD    Terrebonne, QC

185     Signalisation de Montréal inc. Lachine, QC

186     Action 500           Montréal, QC

187     Bédard Ressources    Laval, QC

188     Polyalto             Saint-Laurent, QC

189     CIUSSS du Nord-de-l'Île-de-Montréal Montréal, QC

190     CAE                  Saint-Laurent, QC

